system:index,air2m_temp_K,measured_at,skin_temp_K,.geo
52,305.97047424316406,2022-05-03T09:16:00,313.17071533203125,"{""type"":""Point"",""coordinates"":[34.769800000000004,32.0483]}"
53,298.6696319580078,2022-05-10T09:53:00,305.63734436035156,"{""type"":""Point"",""coordinates"":[35.322,32.6841]}"
54,,2025-03-18T13:13:00,,"{""type"":""Point"",""coordinates"":[0.191118,5.647915000000001]}"
55,,2023-06-23T04:30:00,,"{""type"":""Point"",""coordinates"":[121.76225399999998,24.681796]}"
56,283.60292053222656,2022-03-15T10:02:00,288.9538116455078,"{""type"":""Point"",""coordinates"":[35.32197,32.68415000000001]}"
57,302.3080596923828,2024-09-06T17:49:00,304.0627899169922,"{""type"":""Point"",""coordinates"":[-76.6329,7.889899999999998]}"
58,288.73114013671875,2021-11-06T16:25:00,291.56939697265625,"{""type"":""Point"",""coordinates"":[-98.7153,29.779700000000002]}"
59,307.8619079589844,2022-06-15T18:06:00,310.2548370361328,"{""type"":""Point"",""coordinates"":[-80.9204,34.2143]}"
60,307.41722106933594,2022-06-16T18:17:00,310.4364471435547,"{""type"":""Point"",""coordinates"":[-80.9191,34.214600000000004]}"
61,299.2050323486328,2023-08-22T18:10:00,303.6688232421875,"{""type"":""Point"",""coordinates"":[-84.5566,41.4685]}"
62,284.62738037109375,2023-02-09T11:01:00,293.451171875,"{""type"":""Point"",""coordinates"":[35.042100000000005,31.074600000000004]}"
63,303.4756164550781,2022-07-19T18:55:00,306.2518310546875,"{""type"":""Point"",""coordinates"":[-83.58474,41.612230000000004]}"
64,295.9656677246094,2024-04-08T18:03:00,296.64251708984375,"{""type"":""Point"",""coordinates"":[-88.81029,33.46377]}"
65,283.3461608886719,2023-02-08T06:31:00,282.4980010986328,"{""type"":""Point"",""coordinates"":[35.0774,32.5052]}"
66,303.8185272216797,2024-07-17T15:31:00,308.20628356933594,"{""type"":""Point"",""coordinates"":[-84.31421,33.59402]}"
67,295.9014892578125,2023-10-26T12:35:00,294.7537384033203,"{""type"":""Point"",""coordinates"":[-81.94282,26.601844]}"
68,283.8481903076172,2022-03-16T12:10:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.27349,32.9275]}"
69,283.8481903076172,2022-03-16T12:10:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.27190000000001,32.9295]}"
70,283.8481903076172,2022-03-16T12:10:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.26908,32.930049999999994]}"
71,,2024-06-21T04:36:00,,"{""type"":""Point"",""coordinates"":[118.313914,24.435467]}"
72,298.11659240722656,2024-08-25T10:38:00,305.81117248535156,"{""type"":""Point"",""coordinates"":[22.497501,40.09676900000001]}"
73,296.4310760498047,2022-05-02T08:45:00,302.7645568847656,"{""type"":""Point"",""coordinates"":[35.3334,33.0143]}"
74,304.0550079345703,2024-09-20T19:13:00,308.42254638671875,"{""type"":""Point"",""coordinates"":[-83.62881,41.56257]}"
75,297.1867980957031,2022-10-23T18:19:00,299.7924346923828,"{""type"":""Point"",""coordinates"":[-83.612968,41.660388000000005]}"
